year,name,height_in,weight_lbs,40,bench,vertical,broad_jump,shuttle,3_cone
2022,Tre Turner,73.38,184,4.51,12,30.0,113,4.53,7.45
2022,Christian Watson,76.13,208,4.36,14,38.5,136,4.27,7.02
2022,Isaiah Weston,75.5,214,4.42,20,40.0,135,4.28,7.05
2022,Devon Williams,77.0,210,4.65,14,33.0,133,4.27,7.02
2022,Jameson Williams,73.5,179,4.55,11,34.0,118,4.22,6.99
2022,Garrett Wilson,71.75,183,4.38,12,36.0,123,4.36,6.99
2022,Michael Woods,73.5,203,4.55,14,34.5,125,4.46,7.07
2021,Jonathan Adams,74.0,210,4.59,14,39.0,132,4.38,7.04
2021,Tutu Atwell,68.88,155,4.39,5,33.0,117,4.09,6.87
2021,Jhamon Ausbon,74.38,217,4.72,16,33.0,118,4.28,6.89
2021,Kawaan Baker,72.5,210,4.45,21,39.5,129,4.41,7.42
2021,Rashod Bateman,72.38,190,4.43,12,36.0,123,4.35,6.95
2021,Tarik Black,74.75,213,4.54,15,40.0,132,4.26,6.91
2021,Rico Bussey,72.38,186,4.5,13,38.5,124,4.26,7.21
2021,Jalen Camp,73.88,226,4.48,29,39.5,125,4.14,7.0
2021,JaMarr Chase,72.38,201,4.34,14,41.0,132,3.99,6.96
2021,Nico Collins,76.13,215,4.45,14,37.5,125,4.32,6.79
2021,Donnie Corley,73.75,195,4.59,13,34.0,123,4.29,6.83
2021,Damonte Coxie,74.13,198,4.77,4,30.5,122,4.45,6.92
2021,Frank Darby,72.0,201,4.61,19,34.5,117,4.23,7.15
2021,Jaelon Darden,67.63,174,4.46,11,35.5,122,4.1,6.67
2021,DWayne Eskridge,68.75,190,4.4,12,35.0,124,4.27,6.95
2021,Dez Fitzpatrick,73.75,208,4.49,14,35.0,100,4.25,7.06
2021,Bailey Gaither,72.0,188,4.48,9,31.0,121,4.39,7.07
2021,Trevon Grimes,76.0,220,4.5,15,35.0,118,4.26,7.0
2021,Adrian Hardy,73.0,205,4.61,12,37.5,124,4.5,6.96
2021,Jacob Harris,77.0,219,4.43,15,40.5,133,4.31,6.51
2021,Damon Hazelton,74.75,206,4.64,14,37.5,120,4.32,7.11
2021,Josh Imatorbhebhe,72.88,218,4.53,24,46.5,134,4.38,7.1
2021,Warren Jackson,78.0,219,4.72,11,33.5,123,4.51,7.71
2021,Terrell Jana,71.13,195,4.69,17,32.0,110,4.13,7.05
2021,Cade Johnson,70.63,184,4.51,11,35.0,114,4.23,6.99
2021,Tim Jones,72.75,203,4.47,17,40.0,124,4.14,7.02
2021,Branden Mack,77.0,217,4.66,11,31.0,115,4.37,7.13
2021,Terrace Marshall,74.5,205,4.4,19,39.0,125,4.27,7.02
2021,Khalil McClain,74.88,214,4.7,15,32.0,114,4.5,7.72
2021,Racey McMath,74.5,211,4.39,16,34.0,125,4.4,7.37
2021,Osirus Mitchell,77.0,206,4.61,12,35.5,128,4.34,7.12
2021,Elijah Moore,69.5,178,4.35,17,36.0,121,4.0,6.67
2021,Rondale Moore,67.0,181,4.32,12,42.5,126,4.1,6.68
2021,Dazz Newsome,70.13,190,4.59,12,34.0,121,4.39,7.39
2021,Tre Nixon,72.13,187,4.44,18,35.5,125,4.25,6.81
2021,Antonio Nunn,71.0,204,4.5,15,33.5,120,4.32,7.12
2021,Josh Palmer,73.25,210,4.52,14,34.0,124,4.24,6.98
2021,Whop Philyor,69.63,184,4.58,14,31.0,120,4.38,7.2
2021,Cornell Powell,72.25,204,4.53,16,36.5,128,4.21,7.03
2021,Blake Proehl,73.88,186,4.47,12,36.0,126,4.2,7.0
2021,Amari Rodgers,69.5,212,4.52,19,33.0,121,4.31,7.07
2021,T.J. Simmons,73.38,208,4.59,13,32.0,120,4.55,7.22
2021,Bennett Skowronek,74.88,220,4.55,13,35.5,118,4.28,7.05
2021,Brandon Smith,73.38,218,4.64,21,39.0,130,4.28,7.05
2021,DeVonta Smith,72.25,170,4.53,9,34.0,131,4.22,6.95
2021,Shi Smith,69.5,186,4.46,12,36.0,123,4.22,6.79
2021,Ihmir Smith-Marsette,72.75,181,4.5,10,37.0,124,4.23,7.06
2021,Amon-Ra St. Brown,71.5,197,4.61,20,38.5,127,4.26,6.9
2021,Marquez Stevenson,70.13,180,4.48,11,33.0,122,4.21,6.86
2021,Dillon Stoner,72.13,194,4.57,16,37.0,123,4.18,6.95
2021,Eli Stove,71.38,194,4.54,14,30.5,119,4.4,7.34
2021,Mike Strachan,77.38,226,4.54,20,35.0,127,4.36,6.96
2021,Sage Surratt,74.5,209,4.7,14,35.0,115,4.25,7.02
2021,Kadarius Toney,71.63,193,4.38,9,39.5,136,4.23,6.88
2021,Austin Trammell,70.13,181,4.62,21,40.0,124,4.11,6.75
2021,T.J. Vasher,77.63,203,4.54,14,37.0,121,4.27,7.02
2021,Tyler Vaughns,74.0,184,4.69,7,31.5,120,4.4,7.15
2021,Jaylen Waddle,69.5,180,4.55,11,34.0,122,4.22,6.99
2021,Tylan Wallace,71.38,194,4.5,11,33.0,112,4.25,6.97
2021,Austin Watkins,73.5,209,4.56,18,35.0,133,4.27,7.02
2021,Marlon Williams,71.25,209,4.66,14,33.5,119,4.57,7.02
2021,Seth Williams,75.0,211,4.49,12,37.0,124,4.43,7.2
2020,Brandon Aiyuk,71.63,205,4.5,11,40.0,128,4.27,7.02
2020,Omar Bayless,72.75,212,4.62,11,36.0,123,4.5,7.35
2020,Lawrence Cager,76.75,220,4.55,16,35.5,121,4.28,7.05
2020,Marquez Callaway,73.25,205,4.55,14,38.0,126,4.27,7.02
