,Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
294,2019,Jakobi Meyers,North Carolina State,WR,73.63,203,,4.63,13,37.0,118,4.23,7.07
295,2019,Scott Miller,Bowling Green (OH),WR,69.13,174,,4.36,15,34.0,123,4.02,6.97
296,2019,Dillon Mitchell,Oregon,WR,73.25,197,,4.46,12,36.5,122,4.29,6.93
297,2019,Stanley Morgan,Nebraska,WR,72.00,202,,4.53,14,38.5,125,4.13,6.78
298,2019,Nyqwan Murray,Florida State,WR,70.25,193,,4.63,8,34.0,113,4.40,7.20
299,2019,Flynn Nagel,Northwestern,WR,71.25,188,,4.73,11,28.5,102,4.21,6.95
300,2019,Kyrion Parker,Central Missouri,WR,74.75,207,,4.56,9,37.0,126,4.46,7.20
301,2019,Tristan Payton,Central Florida,WR,71.63,197,,4.59,11,32.5,116,4.34,6.90
302,2019,Michiah Quick,Frenso State (CA),WR,70.50,178,,,,,,,
303,2019,T.J. Rahming,Duke,WR,68.25,163,,4.64,,32.0,114,4.63,6.88
304,2019,Anthony Ratliff-Williams,North Carolina,WR,72.25,205,,4.57,14,35.0,126,4.38,6.90
305,2019,Hunter Renfrow,Clemson,WR,70.50,180,,4.59,7,35.0,116,4.19,6.80
306,2019,A.J. Richardson,Boise State,WR,71.38,202,,4.62,11,33.5,110,4.44,7.12
307,2019,Riley Ridley,Georgia,WR,73.25,194,,4.58,13,30.5,124,4.28,7.22
308,2019,Deebo Samuel,South Carolina,WR,71.25,214,,4.48,15,39.0,122,4.14,7.03
309,2019,David Sills,West Virginia,WR,75.25,211,,4.57,14,37.5,117,4.28,6.97
310,2019,Raelon Singleton,Houston,WR,74.88,208,,4.54,,37.5,131,4.50,7.01
311,2019,Darius Slayton,Auburn,WR,73.00,190,,4.39,11,40.5,135,4.15,7.00
312,2019,Jaylen Smith,Louisville,WR,74.25,213,,4.47,14,34.5,122,4.48,7.55
313,2019,Jeff Smith,Boston College,WR,72.00,191,,4.36,15,36.5,127,4.06,6.87
314,2019,TJ Smith,Lenoir-Rhyne,WR,69.50,174,,4.57,16,35.5,123,4.39,7.00
315,2019,Dredrick Snelson,Central Florida,WR,71.38,189,,4.55,10,30.5,116,4.39,7.27
316,2019,Jayson Stanley,Georgia,WR,73.63,209,,4.46,12,35.0,126,4.34,7.14
317,2019,Brad Stewart,Georgia Tech,WR,72.75,186,,4.66,10,35.0,119,4.20,7.03
318,2019,DeAndre Thompkins,Penn State,WR,71.25,192,,4.34,13,34.0,126,4.26,7.02
319,2019,Cody Thompson,Toledo,WR,73.50,205,,4.57,19,38.5,119,4.03,6.87
320,2019,Trevion Thompson,Clemson,WR,74.00,197,,4.52,,36.0,122,4.32,6.82
321,2019,Kavontae Turpin,Texas Christian,WR,68.88,158,,4.50,2,40.0,129,4.25,6.65
322,2019,John Ursua,Hawaii,WR,69.13,178,,4.56,17,37.0,120,4.16,6.77
323,2019,Jamarius Way,South Alabama,WR,75.50,215,,4.63,16,32.5,119,4.66,7.44
324,2019,Moe Ways,California,WR,75.13,218,,4.63,18,35.0,117,4.39,7.28
325,2019,Alex Wesley,Northern Colorado,WR,71.88,190,,4.45,13,38.5,125,4.44,7.40
326,2019,Antoine Wesley,Texas Tech,WR,76.13,206,,4.68,6,37.0,117,4.26,7.07
327,2019,Vic Wharton,California,WR,70.63,193,,4.65,11,29.0,106,4.38,7.26
328,2019,Reggie White,Monmouth (NJ),WR,74.00,208,,4.52,10,37.0,120,4.07,6.81
329,2019,Preston Williams,Colorado State,WR,76.25,211,,4.61,,31.5,116,4.35,7.11
330,2019,Juwann Winfree,Colorado,WR,73.13,210,,4.53,16,33.0,125,4.25,6.97
331,2018,Deontez Alexander,Franklin,WR,73.25,196,,4.35,15,37.5,130,4.08,6.91
332,2018,Marcell Ateman,Oklahoma State,WR,76.50,216,,4.62,13,34.0,121,4.25,7.07
333,2018,Cameron Batson,Texas Tech,WR,68.25,175,,4.35,14,39.0,124,4.00,6.69
334,2018,Braxton Berrios,Miami (FL),WR,68.63,184,,4.44,11,36.0,110,4.18,6.72
335,2018,Saeed Blacknall,Penn State,WR,74.00,208,,4.37,24,32.5,127,4.19,6.77
336,2018,Deontay Burnett,Southern California,WR,71.63,186,,,,,,,
337,2018,Deon Cain,Clemson,WR,73.88,202,,4.43,11,33.5,115,4.37,6.71
338,2018,Antonio Callaway,Florida,WR,70.63,200,,4.41,7,34.0,121,4.33,7.00
339,2018,Dylan Cantrell,Texas Tech,WR,74.88,226,,4.59,18,38.5,130,4.03,6.56
340,2018,Darren Carrington,Utah,WR,74.25,199,,4.78,9,36.0,120,4.51,6.96
341,2018,D.J. Chark,Louisiana State,WR,74.88,199,,4.34,16,40.0,129,,
342,2018,James Clark,Virginia Tech,WR,69.00,180,,4.49,6,36.5,123,4.31,7.32
343,2018,Simmie Cobbs,Indiana,WR,75.13,220,,4.64,11,30.0,113,4.32,6.70
344,2018,Keke Coutee,Texas Tech,WR,69.75,181,,4.43,14,34.5,113,4.15,6.93
345,2018,Jawill Davis,Bethune-Cookman (FL),WR,72.88,191,,4.38,14,39.0,123,4.56,7.52
346,2018,John Diarse,Texas Christian,WR,71.38,211,,4.58,14,33.5,121,4.40,7.19
347,2018,Armanti Foreman,Texas,WR,71.75,205,,4.58,17,35.0,120,4.28,7.23
348,2018,Robert Foster,Alabama,WR,73.63,196,,4.41,,31.0,116,4.20,6.90
349,2018,Daurice Fountain,Northern Iowa,WR,73.50,206,,4.51,14,42.5,134,4.29,7.02
350,2018,Russell Gage,Louisiana State,WR,72.00,186,,4.50,15,39.0,122,4.25,7.03
351,2018,Michael Gallup,Colorado State,WR,72.75,205,,4.51,10,36.0,122,4.37,6.95
352,2018,Donald Gray,Mississippi State,WR,69.63,204,,4.62,16,32.0,118,4.41,7.12
353,2018,Davon Grayson,East Carolina (NC),WR,72.75,199,,4.51,19,34.5,124,4.40,7.14
354,2018,Daesean Hamilton,Penn State,WR,72.63,203,,4.52,16,34.5,118,4.15,6.84
355,2018,Quadree Henderson,Pittsburgh,WR,68.00,192,,4.50,12,32.5,120,4.28,6.89
356,2018,Ishmael Hyman,James Madison (VA),WR,72.00,196,,4.45,,30.0,116,4.37,7.14
357,2018,Richie James,Middle Tennessee State,WR,70.13,183,,4.48,6,35.5,122,4.16,6.87
358,2018,Adonis Jennings,Temple,WR,74.25,203,,4.57,,31.0,116,4.31,7.06
359,2018,Ricky Jeune,Georgia Tech,WR,74.13,213,,4.56,15,36.0,119,4.39,6.96
360,2018,Garrett Johnson,Kentucky,WR,70.25,169,,4.50,12,40.0,118,4.26,6.81
361,2018,Christian Kirk,Texas A&M,WR,70.38,201,,4.47,20,35.5,115,4.45,7.09
362,2018,Keith Kirkwood,Temple,WR,74.50,221,,4.45,,35.0,125,4.43,6.94
363,2018,Chris Lacy,Oklahoma State,WR,75.00,205,,4.51,11,33.5,120,4.60,7.29
364,2018,Jordan Lasley,UCLA,WR,73.00,203,,4.50,8,34.5,112,4.19,7.27
365,2018,Allen Lazard,Iowa State,WR,76.63,227,,4.55,17,38.0,122,4.33,7.11
366,2018,Tavares Martin,Washington State,WR,72.63,177,,4.80,,31.5,111,4.52,7.09
367,2018,Ray-Ray Mccloud,Clemson,WR,69.50,190,,4.53,13,34.5,113,4.32,6.89
368,2018,Anthony Miller,Memphis,WR,71.13,201,,4.50,22,39.0,125,4.26,6.65
369,2018,Steven Mitchell,Southern California,WR,70.25,189,,4.56,13,32.5,121,4.40,6.75
370,2018,D.J. Moore,Maryland,WR,72.00,210,,4.42,15,39.5,132,4.07,6.95
371,2018,JMon Moore,Missouri,WR,74.63,207,,4.60,21,38.0,120,4.04,6.56
372,2018,Charles Nelson,Oregon,WR,68.13,176,,4.57,16,31.5,114,4.35,7.06
373,2018,Dante Pettis,Washington,WR,72.50,186,,,,,,,
374,2018,Cam Phillips,Virginia Tech,WR,72.13,201,,4.79,12,29.5,113,4.45,7.19
375,2018,Demornay Pierson-El,Nebraska,WR,68.63,194,,4.57,14,37.5,120,4.28,6.98
376,2018,Brandon Powell,Florida,WR,68.00,181,,4.59,,32.0,115,4.15,6.88
377,2018,Byron Pringle,Kansas State,WR,73.13,203,,4.46,15,33.5,120,4.40,6.87
378,2018,Austin Proehl,North Carolina,WR,69.13,182,,,11,34.0,113,4.07,6.75
379,2018,Trey Quinn,Southern Methodist (TX),WR,71.38,203,,4.55,17,33.5,116,4.19,6.91
380,2018,Damion Ratley,Texas A&M,WR,73.75,196,,4.39,12,38.0,124,4.23,6.92
381,2018,Calvin Ridley,Alabama,WR,72.50,189,,4.43,15,31.0,110,4.41,6.88
382,2018,Korey Robertson,Southern Mississippi,WR,72.63,212,,4.56,13,34.0,123,4.40,7.55
383,2018,Terryon Robinson,Western Carolina,WR,69.63,194,,4.65,13,33.0,112,4.64,7.70
384,2018,Shaq Roland,West Georgia,WR,72.63,184,,4.62,,30.0,112,4.44,6.90
385,2018,Devin Ross,Colorado,WR,69.38,192,,4.52,16,35.0,123,4.23,6.94
386,2018,Jaleel Scott,New Mexico State,WR,76.75,218,,4.56,16,34.5,124,4.40,7.20
387,2018,Trent Sherfield,Vanderbilt,WR,72.25,203,,4.45,19,32.5,125,4.20,6.90
388,2018,Cam Sims,Alabama,WR,75.63,212,,4.59,,34.0,123,4.49,7.57
389,2018,Jordan Smallwood,Oklahoma,WR,74.00,219,,4.53,21,39.0,130,4.26,6.95
390,2018,Thadd Smith,Boston College,WR,68.38,167,,4.51,10,34.0,120,4.43,7.00
391,2018,TreQuan Smith,Central Florida,WR,73.75,203,,4.49,12,37.5,130,4.50,6.97
392,2018,Kevin Spears,Jacksonville State (AL),WR,73.75,202,,4.69,4,,113,4.35,7.11
393,2018,Equanimeous St. Brown,Notre Dame,WR,76.75,214,,4.48,20,34.5,,,
394,2018,Courtland Sutton,Southern Methodist (TX),WR,75.38,218,,4.54,18,35.5,124,4.11,6.57
395,2018,Auden Tate,Florida State,WR,76.88,228,,4.68,,31.0,112,4.58,7.37
396,2018,Marquez Valdes-Scantling,South Florida,WR,76.00,206,,4.37,15,30.5,124,4.17,6.85
397,2018,James Washington,Oklahoma State,WR,71.00,213,,4.54,14,34.5,120,4.32,7.11
398,2018,Justin Watson,Pennsylvania,WR,74.38,215,,4.44,20,40.0,124,4.26,7.08
399,2018,Jester Weah,Pittsburgh,WR,74.25,211,,4.43,15,38.0,129,4.41,7.24
400,2018,KaRaun White,West Virginia,WR,73.00,206,,4.52,24,33.5,118,4.57,7.16
401,2018,Jake Wieneke,South Dakota State,WR,76.00,221,,4.67,9,34.0,114,4.37,7.24
402,2018,Taj Williams,Texas Christian,WR,74.88,199,,4.50,,34.0,124,4.44,7.05
403,2018,Cedrick Wilson,Boise State,WR,74.25,197,,4.55,9,37.0,121,4.23,6.89
404,2018,Javon Wims,Georgia,WR,74.88,215,,4.53,,33.5,113,4.53,7.00
405,2017,Ishmael Adams,UCLA,WR,67.88,186,,4.50,15,27.0,111,4.25,7.03
406,2017,Rodney Adams,South Florida,WR,73.25,189,,4.44,8,29.5,125,4.28,6.98
407,2017,Quincy Adeboyejo,Mississippi,WR,74.75,197,,4.42,8,34.5,123,4.14,6.73
408,2017,Tommy Armstrong,Nebraska,WR,72.38,216,,4.57,16,37.5,123,4.11,6.76
409,2017,Josh Atkinson,Tulsa (OK),WR,72.25,200,,4.74,12,33.0,115,4.39,7.03
410,2017,Victor Bolden,Oregon State,WR,68.13,178,,4.54,9,32.0,117,4.22,6.83
411,2017,Kendrick Bourne,Eastern Washington,WR,73.25,203,,4.68,9,34.0,125,4.21,6.73
412,2017,Billy Brown,Shepherd (WV),WR,75.38,254,,4.70,23,29.0,118,4.14,6.90
413,2017,Noah Brown,Ohio State,WR,74.00,222,,4.56,19,,,4.33,7.07
414,2017,KD Cannon,Baylor,WR,71.13,182,,4.41,13,37.0,119,4.20,7.10
415,2017,Jehu Chesson,Michigan,WR,74.75,204,,4.47,10,35.5,132,4.09,6.70
416,2017,Stacy Coley,Miami (FL),WR,72.13,195,,4.45,10,34.0,122,4.39,7.19
417,2017,Amara Darboh,Michigan,WR,73.75,214,,4.45,17,36.0,124,4.26,6.81
418,2017,Corey Davis,Western Michigan,WR,74.75,209,31,,,,,4.28,
419,2017,Marcus Davis,Auburn,WR,69.00,179,,4.53,,31.5,114,4.46,7.49
420,2017,Reggie Davis,Georgia,WR,71.63,158,,4.36,4,32.0,115,4.12,6.94
421,2017,Reginald Davis,Texas Tech,WR,71.75,182,,4.44,9,35.0,124,4.30,6.76
422,2017,Robert Davis,Georgia State,WR,74.75,219,,4.44,19,41.0,136,4.28,6.82
423,2017,Malachi Dupre,Louisiana State,WR,74.13,196,,4.52,11,39.5,135,4.26,7.19
424,2017,Travin Dural,Louisiana State,WR,73.00,202,,4.57,,30.5,116,4.55,7.29
425,2017,Amba Etta-Tawo,Syracuse,WR,73.25,208,,4.49,14,31.0,126,4.32,6.95
426,2017,Isaiah Ford,Virginia Tech,WR,73.25,194,,4.61,14,35.5,127,4.34,6.94
427,2017,Ahmad Fulwood,Florida,WR,76.13,202,,4.51,,34.5,124,4.38,7.29
428,2017,Shelton Gibson,West Virginia,WR,71.13,191,,4.50,8,32.0,118,4.20,6.83
429,2017,Chris Godwin,Penn State,WR,73.00,209,,4.42,19,36.0,125,4.00,7.01
430,2017,Kenny Golladay,Northern Illinois,WR,75.75,218,,4.50,18,35.5,120,4.15,7.00
431,2017,Deante Gray,Texas Christian,WR,67.88,184,,4.43,12,32.5,115,4.28,7.01
432,2017,Trey Griffey,Arizona,WR,74.13,209,,4.59,17,32.5,118,4.50,7.32
433,2017,Chad Hansen,California,WR,73.75,202,,4.53,11,35.0,119,4.13,6.74
434,2017,Justin Hardee,Illinois,WR,72.63,197,,4.36,17,34.5,129,4.26,7.28
435,2017,Keon Hatcher,Arkansas,WR,73.25,212,,4.64,16,,,4.28,
436,2017,Carlos Henderson,Louisiana Tech,WR,70.75,199,,4.46,13,36.0,131,4.35,7.18
437,2017,Krishawn Hogan,Marian (IN),WR,74.63,222,,4.56,13,36.5,124,4.21,6.74
438,2017,Mack Hollins,North Carolina,WR,75.75,221,,4.53,,,,,
439,2017,Brandon Holloway,Mississippi State,WR,67.00,160,,4.34,,38.5,122,4.09,6.87
440,2017,Bug Howard,North Carolina,WR,75.63,221,,4.58,15,37.5,119,4.14,6.95
441,2017,Zay Jones,East Carolina (NC),WR,73.88,201,,4.45,15,36.5,133,4.01,6.79
442,2017,Cooper Kupp,Eastern Washington,WR,73.75,204,37,4.62,,31.0,116,4.08,6.75
443,2017,Jerome Lane,Akron,WR,74.13,226,,4.60,16,35.0,125,4.12,6.87
444,2017,Keevan Lucas,Tulsa (OK),WR,69.13,192,,4.55,11,32.5,119,4.43,7.23
445,2017,Josh Malone,Tennessee,WR,74.63,208,,4.40,10,30.5,121,4.19,7.05
446,2017,Gabe Marks,Washington State,WR,70.75,189,,4.56,11,29.5,117,4.20,7.01
447,2017,Isaiah McKenzie,Georgia,WR,67.25,173,,4.42,11,36.0,123,4.15,6.64
448,2017,Alonzo Moore,Nebraska,WR,72.88,199,,4.47,,32.0,119,4.17,6.79
449,2017,David Moore,East Central (OK),WR,72.63,219,,4.43,26,36.5,124,4.38,6.98
450,2017,Drew Morgan,Arkansas,WR,71.75,190,,4.74,10,30.0,112,4.12,6.85
451,2017,Speedy Noil,Texas A&M,WR,71.13,199,,4.45,18,43.5,133,,
452,2017,Francis Owusu,Stanford,WR,74.50,221,,4.37,12,39.0,127,4.13,7.07
453,2017,Zach Pascal,Old Dominion (VA),WR,73.75,219,,4.55,14,36.0,126,4.29,7.11
454,2017,James Quick,Louisville,WR,72.25,186,,4.60,11,31.0,115,4.39,7.00
455,2017,Michael Rector,Stanford,WR,72.13,193,,4.42,13,36.5,129,4.19,6.77
456,2017,Josh Reynolds,Texas A&M,WR,74.75,194,,4.52,,37.0,124,4.13,6.83
457,2017,Jalen Robinette,Air Force,WR,74.75,220,,4.62,13,31.5,120,4.46,6.77
458,2017,Darreus Rogers,Southern California,WR,72.63,216,,4.90,8,26.5,112,4.54,7.22
459,2017,Fred Ross,Mississippi State,WR,72.63,213,,4.51,10,35.0,113,4.28,6.99
460,2017,John Ross,Washington,WR,70.75,188,16,4.22,,37.0,133,4.33,
461,2017,Travis Rudolph,Florida State,WR,72.25,189,,4.65,12,31.5,114,4.46,6.93
462,2017,Curtis Samuel,Ohio State,WR,71.00,196,22,4.31,18,37.0,119,4.33,7.09
463,2017,Kendall Sanders,Arkansas State,WR,70.88,196,,4.56,15,39.0,128,4.62,7.55
464,2017,Artavis Scott,Clemson,WR,70.25,193,,4.61,13,31.0,116,4.49,7.19
465,2017,Ricky Seals-Jones,Texas A&M,WR,76.63,243,,4.69,17,28.0,121,4.33,7.46
466,2017,R.J. Shelton,Michigan State,WR,70.25,200,,4.64,17,32.0,109,4.23,6.91
467,2017,Corey Smith,Ohio State,WR,72.25,183,,4.71,,35.0,117,4.23,7.28
468,2017,JuJu Smith-Schuster,Southern California,WR,73.25,215,,4.54,15,32.5,120,5.01,6.93
469,2017,Dwayne Stanford,Oregon,WR,75.25,213,,,17,,,,
470,2017,Jamari Staples,Louisville,WR,75.00,195,,4.51,,36.0,130,4.14,
471,2017,Tony Stevens,Auburn,WR,76.00,212,,4.49,12,34.5,126,4.34,7.15
472,2017,ArDarius Stewart,Alabama,WR,71.25,204,20,4.49,,34.0,124,4.21,
473,2017,Manny Stocker,Pittsburgh,WR,73.38,210,,4.51,,33.0,127,4.38,7.24
474,2017,Damoreea Stringfellow,Mississippi,WR,73.88,218,,4.62,17,36.0,130,4.54,7.25
475,2017,Ryan Switzer,North Carolina,WR,68.50,181,,4.51,11,32.0,116,4.00,6.77
476,2017,Taywan Taylor,Western Kentucky,WR,71.00,203,,4.50,13,33.5,132,4.21,6.57
477,2017,Trent Taylor,Louisiana Tech,WR,67.63,181,,4.63,13,33.0,117,4.01,6.74
478,2017,Noel Thomas,Connecticut,WR,72.13,205,,4.63,9,32.5,118,,
479,2017,Chris Thompson,Florida,WR,71.13,171,,4.48,6,34.5,121,4.25,7.00
480,2017,Ryan Timmons,Kentucky,WR,70.00,201,,4.47,15,32.0,111,4.37,7.13
481,2017,Greg Ward,Houston,WR,70.50,182,,4.59,10,34.5,115,4.31,6.90
482,2017,Dede Westbrook,Oklahoma,WR,71.63,178,,4.39,8,34.5,120,4.34,7.20
483,2017,Jordan Westerkamp,Nebraska,WR,71.25,194,,,,,,,
484,2017,Robert Wheelwright,Wisconsin,WR,73.88,205,,4.60,15,38.0,128,4.14,6.68
485,2017,Kermit Whitfield,Florida State,WR,67.75,185,,4.44,8,32.5,120,4.37,7.17
486,2017,Chad Williams,Grambling State (LA),WR,72.50,207,,4.43,21,35.5,123,4.21,7.06
487,2017,Jalen Williams,Massachusetts,WR,74.38,209,,4.55,14,40.5,119,,
488,2017,Mike Williams,Clemson,WR,75.75,218,17,4.54,15,32.5,121,,
489,2017,Dontre Wilson,Ohio State,WR,70.13,183,,4.58,,33.0,112,4.10,6.96
490,2017,Jesus Wilson,Florida State,WR,69.13,189,,4.57,10,,119,4.57,
491,2017,DeAngelo Yancey,Purdue,WR,73.63,220,,4.53,21,35.5,121,4.27,6.84
492,2017,Ishmael Zamora,Baylor,WR,75.50,224,,4.53,13,34.0,120,4.31,7.16
493,2016,Bralon Addison,Oregon,WR,69.25,197,,4.66,13,34.5,116,4.14,6.95
494,2016,Geronimo Allison,Illinois,WR,75.25,196,,4.67,,33.0,127,4.28,7.40
495,2016,Robby Anderson,Temple,WR,74.88,187,,4.36,8,36.5,128,4.27,7.07
496,2016,Demarcus Ayers,Houston,WR,69.38,182,,4.72,,33.0,123,4.35,7.30
497,2016,Moritz Boehringer,Schwabisch Hall,WR,76.50,227,,4.49,17,39.0,131,4.09,6.64
498,2016,Tyler Boyd,Pittsburgh,WR,73.50,197,,4.58,11,34.0,119,4.35,6.90
499,2016,Daniel Braverman,Western Michigan,WR,69.88,175,,4.53,10,28.5,112,4.16,6.88
500,2016,Chris Brown,Notre Dame,WR,74.00,194,,4.50,14,33.5,130,4.41,7.37
501,2016,Aaron Burbridge,Michigan State,WR,72.00,206,,4.56,20,30.5,115,4.31,7.22
502,2016,Devon Cajuste,Stanford,WR,75.75,234,,4.62,12,36.0,123,4.20,6.49
503,2016,Leonte Carroo,Rutgers,WR,71.88,211,,4.50,14,35.5,120,,
504,2016,Corey Coleman,Baylor,WR,70.63,194,,4.40,17,40.5,129,,
505,2016,Pharoh Cooper,South Carolina,WR,71.13,203,,4.65,15,31.0,115,4.26,7.15
506,2016,Cody Core,Mississippi,WR,74.63,205,,4.47,14,31.5,119,4.34,6.78
507,2016,Quinshad Davis,North Carolina,WR,75.38,218,,4.69,17,31.5,113,4.35,7.07
508,2016,Trevor Davis,California,WR,73.13,188,,4.42,11,38.5,124,4.22,6.60
509,2016,Josh Doctson,Texas Christian,WR,74.00,202,,4.50,14,41.0,131,4.08,6.84
510,2016,D.J. Foster,Arizona State,WR,70.25,193,,4.57,14,35.5,117,4.07,6.75
511,2016,Devin Fuller,UCLA,WR,72.00,194,,4.39,,36.0,124,4.07,7.03
512,2016,Will Fuller,Notre Dame,WR,72.13,186,,4.32,10,33.5,126,4.27,6.93
513,2016,Keyarris Garrett,Tulsa (OK),WR,75.38,220,,4.53,14,36.5,128,4.33,7.30
514,2016,Jakeem Grant,Texas Tech,WR,65.88,165,,4.37,15,36.5,117,4.03,7.03
515,2016,Rashard Higgins,Colorado State,WR,73.38,196,,4.64,13,32.0,116,4.52,7.19
516,2016,Tyreek Hill,West Alabama,WR,68.13,185,,4.29,13,40.5,129,4.06,6.53
517,2016,Johnny Holton,Cincinnati,WR,72.63,190,,4.54,8,31.5,123,4.20,6.90
518,2016,Daje Johnson,Texas,WR,68.38,184,,4.48,18,38.0,122,,
519,2016,Marcus Johnson,Texas,WR,72.88,204,,4.39,22,37.0,135,4.39,7.26
520,2016,Cayleb Jones,Arizona,WR,74.63,209,,4.65,9,33.5,112,4.14,6.99
521,2016,Malachi Jones,Appalachian State (NC),WR,73.75,211,,4.53,14,37.5,125,4.30,6.90
522,2016,Kenny Lawler,California,WR,74.50,203,,4.64,,31.0,111,4.20,7.13
523,2016,Roger Lewis,Bowling Green (OH),WR,72.38,201,,4.57,8,33.5,116,4.45,7.58
524,2016,Kolby Listenbee,Texas Christian,WR,72.00,197,,4.39,15,35.5,129,,
525,2016,Ricardo Louis,Auburn,WR,73.75,215,,4.43,18,38.0,132,4.32,7.07
526,2016,Devin Lucien,Arizona State,WR,72.50,201,,4.49,13,34.5,117,4.30,6.93
527,2016,Byron Marshall,Oregon,WR,69.38,201,,4.56,17,29.5,111,4.19,6.99
528,2016,Jalin Marshall,Ohio State,WR,70.50,200,,4.60,16,37.5,125,4.13,6.80
529,2016,Mitch Mathews,Brigham Young,WR,77.63,222,,4.49,12,36.0,129,4.25,6.99
530,2016,KJ Maye,Minnesota,WR,68.13,191,,4.61,10,33.0,113,4.35,7.18
531,2016,Mekale McKay,Cincinnati,WR,75.63,207,,4.55,12,35.0,123,4.63,7.08
532,2016,Jaydon Mickens,Washington,WR,69.88,174,,4.54,13,35.5,121,3.93,6.62
533,2016,Braxton Miller,Ohio State,WR,73.38,201,,4.50,17,35.0,123,4.07,6.65
534,2016,Malcolm Mitchell,Georgia,WR,71.63,198,,4.45,15,36.0,129,4.34,6.94
535,2016,Chris Moore,Cincinnati,WR,73.00,206,,4.53,10,37.0,130,4.20,6.76
536,2016,Joe Morrow,Mississippi State,WR,75.63,211,,,,,,,
537,2016,Durron Neal,Oklahoma,WR,71.00,194,,4.54,13,32.5,121,4.46,7.22
538,2016,Dennis Norfleet,Tuskegee (AL),WR,66.25,159,,4.64,,30.5,115,4.32,6.77
539,2016,Marquez North,Tennessee,WR,74.50,223,,4.48,17,35.0,123,4.13,6.90
540,2016,Jordan Payton,UCLA,WR,73.13,207,,4.47,,34.5,121,4.33,7.08
541,2016,Charone Peake,Clemson,WR,74.38,209,,4.45,12,35.5,122,4.46,6.96
542,2016,Latroy Pittman,Florida,WR,70.88,207,,4.69,14,29.0,103,4.75,7.28
543,2016,Darius Powe,California,WR,74.88,220,,4.49,17,34.5,120,4.29,6.94
544,2016,Demarcus Robinson,Florida,WR,73.38,203,,4.59,9,34.5,123,4.19,6.77
545,2016,Devonte Robinson,Utah State,WR,73.25,188,,4.33,,38.0,128,4.38,7.33
546,2016,Alonzo Russell,Toledo,WR,75.63,206,,4.54,12,29.5,112,4.33,7.18
547,2016,Rashawn Scott,Miami (FL),WR,72.88,199,,4.54,17,32.5,116,4.33,6.88
548,2016,Canaan Severin,Virginia,WR,74.13,212,,,,,,,
549,2016,Hunter Sharp,Utah State,WR,71.50,198,,4.58,12,32.5,116,4.19,7.12
550,2016,Tajae Sharpe,Massachusetts,WR,74.00,194,,4.55,11,33.5,114,,
551,2016,Sterling Shepard,Oklahoma,WR,70.25,194,,4.48,20,41.0,123,4.35,7.00
552,2016,Brandon Shippen,Temple,WR,70.63,195,,4.55,17,31.5,117,4.20,6.76
553,2016,Nelson Spruce,Colorado,WR,73.13,206,,4.69,12,35.0,114,4.20,7.09
554,2016,Michael Thomas,Ohio State,WR,74.75,212,,4.57,18,35.0,126,4.13,6.80
555,2016,Mike Thomas,Southern Mississippi,WR,73.25,193,,4.54,16,36.0,126,4.26,7.06
556,2016,Laquon Treadwell,Mississippi,WR,74.00,221,,4.64,12,33.0,117,4.30,7.04
557,2016,Bryce Treggs,California,WR,71.38,190,,4.39,16,34.0,122,4.19,7.00
558,2016,Damien Washington,North Carolina,WR,71.88,190,,4.47,16,35.0,122,4.31,6.82
559,2016,Herb Waters,Miami (FL),WR,71.75,188,,4.51,14,38.5,121,4.10,6.73
560,2016,Andrew Williams,Youngstown State (OH),WR,74.63,191,,4.67,13,38.5,126,4.32,7.13
561,2016,Duke Williams,Auburn,WR,74.25,229,,4.72,14,30.0,121,4.47,7.43
562,2016,DeRunnya Wilson,Mississippi State,WR,76.63,224,,4.85,13,28.0,113,4.52,7.21
563,2015,Nelson Agholor,Southern California,WR,72.13,198,,4.42,12,36.5,125,4.34,6.83
564,2015,Mario Alford,West Virginia,WR,68.50,180,,4.43,13,34.0,121,4.07,6.64
565,2015,Dres Anderson,Utah,WR,73.13,187,,4.53,13,,121,4.22,6.83
566,2015,DeJuan Beard,Washburn (KS),WR,73.00,195,,4.56,,,,,
567,2015,Kenny Bell,Nebraska,WR,73.13,197,,4.42,7,41.5,129,4.15,6.66
568,2015,Michael Bennett,Georgia,WR,73.63,202,,4.59,,,,,
569,2015,Da'Ron Brown,Northern Illinois,WR,72.13,205,,4.54,17,37.0,120,4.11,7.04
570,2015,Damiere Byrd,South Carolina,WR,69.25,162,,4.39,13,42.0,131,4.09,6.59
571,2015,DeAndre Carter,Sacramento State (CA),WR,68.50,186,,4.48,17,38.5,126,3.80,6.64
572,2015,Marquez Clark,Central Oklahoma,WR,70.25,190,,4.58,12,34.0,124,4.23,7.07
573,2015,Kaelin Clay,Utah,WR,69.63,195,,4.51,10,33.0,113,4.26,6.97
574,2015,Sammie Coates,Auburn,WR,73.38,212,14,4.43,23,41.0,131,4.06,6.98
575,2015,Chris Conley,Georgia,WR,73.88,213,,4.35,18,45.0,139,4.30,7.06
576,2015,Kenny Cook,Gardner-Webb (NC),WR,75.38,215,,4.56,12,33.0,120,4.37,7.13
577,2015,Amari Cooper,Alabama,WR,72.88,211,21,4.42,,33.0,120,3.98,6.71
578,2015,Jamison Crowder,Duke,WR,68.38,185,,4.56,10,37.0,115,4.32,7.17
